Module,Submodule,Key,English,Marathi,Hindi,Odiya,Telugu,Kannada,Tamil,Gujarati,Urdu
COMMON,,LANGUAGE,Language,भाषा,भाषा,ଭାଷା,భాష,ಭಾಷೆ,மொழி,ભાષા,زبان
COMMON,,ADD_NEW,Add New,नवीन जोडा,नया जोड़ें,ନୂତନ ଯୋଡନ୍ତୁ,కొత్తదాన్ని జోడించండి,ಹೊಸದನ್ನು ಸೇರಿಸಿ,புதியதைச் சேர்க்கவும்,નવું જોડો,نیا شامل کریں۔
COMMON,,PAGE_SIZE,Page Size,पेज  आकार,पृष्ठ आकार,ପୃଷ୍ଠା ଆକାର,పేజీ పరిమాణం,ಪುಟ ಗಾತ್ರ,பக்க அளவு,કાગળનું માપ,صفحہ کا سائز
COMMON,,DELETE_USER,Delete User,वापरकर्त्याला कायमस्वरूपी हटवा,उपयोगकर्ता को स्थायी रूप से हटाएं,ୟୁଜରଙ୍କୁ ଡିଲିଟ  କରନ୍ତୁ ,వినియోగదారుని తొలగించండి,ಯೂಸರ್ ನ್ನು ಶಾಶ್ವತವಾಗಿ ಅಳಿಸಿ,பயனரை நீக்கவும்,ઉપયોગકર્તાને સ્થાયી રૂપથી હટાવો,صارف کو حذف کریں۔
COMMON,,DELETE_USER_WITH_REASON,Delete User,वापरकर्त्याला हटवा,उपयोगकर्ता को हटाएं,ୟୁଜରଙ୍କୁ ଡିଲିଟ  କରନ୍ତୁ ,వినియోగదారుని తొలగించండి,ಯೂಸರ್ ನ್ನು ಅಳಿಸಿ,பயனரை நீக்கவும்,ઉપયોગકર્તાને હટાવો,صارف کو حذف کریں۔
COMMON,,USER_DELETED_PERMANENTLY,User Successfully Deleted!,वापरकर्ता यशस्वीरित्या हटविला गेला!,उपयोगकर्ता सफलतापूर्वक हटाया गया!,ୟୁଜରଙ୍କୁ ସଫଳତାର ସହ ଡିଲିଟ କରାଯାଇଛି l ,వినియోగదారు విజయవంతంగా తొలగించబడ్డారు!,ಯೂಸರ್ ನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ!,பயனர் வெற்றிகரமாக நீக்கப்பட்டார்!,ઉપયોગકર્તાને સફળતાપૂર્વક હટાવી દીધો છે.,صارف  کامیابی سے حذف ہو گیا!
COMMON,,OTHER_REASON,Other Reason,इतर कारण,अन्य कारण,ଅନ୍ୟାନ୍ୟ କାରଣ,ఇతర కారణం,ಇತರ ಕಾರಣ,பிற காரணம்,અન્ય કારણ,دوسری وجہ
COMMON,,OTHER_REASON_PLACEHOLDER,Enter Other Reason,इतर कारण प्रविष्ट करा,अन्य कारण दर्ज करें,ଅନ୍ୟାନ୍ୟ କାରଣ ଲେଖନ୍ତୁ,ఇతర కారణాన్ని నమోదు చేయండి,ಇತರ ಕಾರಣವನ್ನು ನಮೂದಿಸಿ,பிற காரணத்தை உள்ளிடவும்,અન્ય કારણ નાખો,دوسری وجہ درج کریں۔
COMMON,,REASON_FOR_DELETION,Reason for Deletion,हटवण्याचे कारण,हटाने का कारण,ଡିଲିଟ କରିବାର କାରଣ ,తొలగింపుకు కారణం,ಅಳಿಸುವಿಕೆಗೆ ಕಾರಣ,நீக்குவதற்கான காரணம்,હટાવી દેવાનું કારણ,حذف کرنے کی وجہ
COMMON,,INCORRECT_DATA_ENTRY,Incorrect Data Entry,चुकीची डेटा नोंद,गलत डेटा प्रविष्टि,ତ୍ରୁଟିପୂର୍ଣ୍ଣ ତଥ୍ୟ ଏଣ୍ଟ୍ରି ,తప్పుగా డేటా నమోదు,ತಪ್ಪಾದ ಡೇಟಾ ನಮೂದು,தவறான தரவு பதிவு,ખોટી માહિતી નાખી છે.,غلط ڈیٹا انٹری
COMMON,,DUPLICATED_USER,Duplicate User,डुप्लिकेट वापरकर्ता,डुप्लिकेट उपयोगकर्ता,ଡୁପ୍ଲିକେଟ୍ ୟୁଜର ,నకిలీ వినియోగదారు,ನಕಲಿ ಯೂಸರ್,டூப்ளிகேட் பயனர்,ડુપ્લિકેટ ઉપયોગકર્તા,نقلی صارف
COMMON,,NO_USER_FOUND,User not found,वापरकर्ता सापडला नाही,उपयोगकर्ता नहीं मिला,ୟୁଜର ମିଳିଲେ ନାହିଁ।,వినియోగదారు కనుగొనబడలేదు,ಯೂಸರ್ ಕಂಡುಬಂದಿಲ್ಲ.,பயனர் கிடைக்கவில்லை,ઉપયોગકર્તા નથી મળેલ,صارف نہیں ملا
COMMON,,NO_CENTER_FOUND,Centers not found,सेंटर नहीं मिले,केंद्र सापडले नाही,ସେଣ୍ଟର  ମିଳିନାହିଁ,కేంద్రాలు దొరకలేదు,ಕೇಂದ್ರಗಳು ಕಂಡುಬಂದಿಲ್ಲ,மையங்கள் கிடைக்கவில்லை,કેન્દ્ર મળ્યું નથી,سنٹرز نہیں ملے
COMMON,,ALL,All,सर्व,सभी,ସମସ୍ତ,అన్నీ,ಎಲ್ಲವೂ,அனைத்தும்,બધાજ,تمام
COMMON,,NO_GO_BACK,"No, go back","नाही, परत जा","नहीं, वापस जाएं","ନାହିଁ, ପଛକୁ ଯାଆନ୍ତୁ","లేదు, వెనక్కి వెళ్ళు","ಇಲ್ಲ, ಹಿಂತಿರುಗಿ","இல்லை, திரும்பிச் செல்லவும்","નથી, પાછા જાઓ",نہیں، واپس جائیں
COMMON,,YES,Yes,होय,हाँ,ହଁ,అవును,ಹೌದು,ஆம்,હા,جی ہاں
COMMON,,OTHER,Other,इतर,अन्य,ଅନ୍ୟାନ୍ୟ,ఇతర,ಇತರೆ,மற்றவை,અન્ય,دیگر
COMMON,,EDIT_CENTER_NAME,Edit Center,संपादन केंद्र,संपादन केंद्र,ସେଣ୍ଟର ସମ୍ପାଦିତ କର,సవరణ కేంద్రం,ಎಡಿಟ್ ಸೆಂಟರ್ ,மையத்தைத் திருத்தவும்,કેન્દ્ર ફાળવો,سنٹر میں ترمیم کریں۔
COMMON,,NAME,Name,नाव,नाम,ନାମ,పేరు,ಹೆಸರು,பெயர்,નામ,نام
COMMON,,UPDATE_CENTER,Update Center,केंद्र अद्ययावत करा,केंद्र को अपडेट करें,ଅପଡେଟ୍ କେନ୍ଦ୍ର,అప్‌డేట్ సెంటర్,ಅಪ್ಡೇಟ್ ಸೆಂಟರ್,மையத்தைப் புதுப்பிக்கவும்,અપડેટ સેન્ટર,اپ ڈیٹ سینٹر
COMMON,,EDIT,Edit,संपादित करा,संपादित करें,ସମ୍ପାଦନା,సవరణ,ಎಡಿಟ್ ಸೆಂಟರ್ ,திருத்தவும்,ઉમેરો,ترمیم کریں۔
COMMON,,DELETE,Delete,हटवा,हटाएं,ହଟାନ୍ତୁ,తొలగించండి,ಅಳಿಸಿ,நீக்கவும்,કાઢો,حذف کریں۔
COMMON,,NO_DATA_FOUND,No data found,डेटा सापडला नाही,कोई डेटा नहीं मिला,ତଥ୍ୟ ମିଳିଲା ନାହିଁ,డేటా ఏదీ కనుగొనబడలేదు,ಯಾವುದೇ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ,தரவு எதுவும் கிடைக்கவில்லை,કોઈ માહિતી નથી મળેલ,کوئی ڈیٹا نہیں ملا
COMMON,,SUBMIT,Submit,सबमिट करा,जमा करें,ଦାଖଲ କରନ୍ତୁ,సమర్పించండి,ಸಲ್ಲಿಸಿ,சமர்ப்பிக்கவும்,સબમિટ કરો,جمع کروائیں۔
COMMON,,BACK,Back,परत जा,वापस,ପଛକୁ ଯାଆନ୍ତୁ,వెనుకకు,ಹಿಂದೆ,பின்செல்,પાછા જાઓ,پیچھے
COMMON,,CANCEL,Cancel,रद्द करें,रद्द करा,ବାତିଲ,రద్దు చేయి,ರದ್ದುಮಾಡಿ,ரத்து செய்க,રદ કરો,منسوخ کریں۔
