Module,Submodule,Key,English,Marathi,Hindi,Odiya,Telugu,Kannada,Tamil,Gujarati,Urdu,,
,,LANGUAGE,Language ,भाषा ,भाषा ,ଭାଷା en,భాష,ಭಾಷೆ en,மொழி,ભાષા en,زبان,,
,,ENGLISH,English,इंग्रजी,अंग्रेज़ी,ଇଂରାଜୀ,ఆంగ్లం,ಇಂಗ್ಲಿಷ್,ஆங்கிலம்,અંગ્રેજી ,انگریزی,,
,,HINDI,Hindi,हिंदी,हिंदी,ହିନ୍ଦୀ,హిందీ,ಹಿಂದಿ,இந்தி,હિન્દી,ہندی,,
,,MARATHI,Marathi,मराठी,मराठी,ମରାଠୀ,మరాఠీ,ಮರಾಠಿ,மராத்தி,મરાઠી,مراٹھی,,
,,URDU,Urdu,उर्दू,उर्दू,ଉର୍ଦ୍ଦୁ,ఉర్దూ,ಉರ್ದು,உருது,ઉર્દૂ,اردو,,
,,UNIT_NAME,Unit Name,युनिटचे नाव,इकाई का नाम,ୟୁନିଟ୍ ର ନାମ,యూనిట్ పేరు,ಯೂನಿಟ್  ಹೆಸರು,அலகு பெயர்,યુનિટનું નામ ,یونٹ کا نام,,
,,TYPE_OF_CENTER,Type of Center,केंद्राचा प्रकार,सेंटर के प्रकार,ସେଣ୍ଟର ର ପ୍ରକାର,కేంద్రం రకం,ಸೆಂಟರ್ ಪ್ರಕಾರ,மையத்தின் வகை,સેન્ટરનો પ્રકાર ,مرکز کی قسم,,
,,GOOGLE MAP_LINK,Google Map Link,गूगल नकाशा लिंक,गूगल मैप लिंक,ଗୁଗୁଲ୍ ମ୍ୟାପ୍ ଲିଙ୍କ,గూగుల్ మ్యాప్ లింక్,ಗೂಗಲ್ ಮ್ಯಾಪ್ ಲಿಂಕ್,கூகுள் மேப் இணைப்பு,ગૂગલ મેપ લિંક,گوگل میپ لنک,,
,,MY_MAIN_SUBJECTS,Main subjects,माझे मुख्य विषय,मुख्य विषय,ମୁଖ୍ୟ ବିଷୟ,ప్రధాన అంశాలు,ನನ್ನ ಮುಖ್ಯ ವಿಷಯಗಳು,முக்கிய பாடங்கள்,મારા મુખ્ય વિષયો,اہم مضامین,,
,,LIFE_SKILLS,Life Skills,जीवन कौशल्ये,लाइफ स्किल्स,ଜୀବନ କୌଶଳ,లైఫ్ స్కిల్స్,ಜೀವನ ಕೌಶಲ್ಯಗಳು,வாழ்க்கை திறன்கள்,લાઇફ સ્કિલ્સ,زندگی کی مہارتیں,,
,,HOME_SCIENCE,Home Science,गृहशास्त्र,होम साइंस,ଗୃହ ବିଜ୍ଞାନ,హోమ్ సైన్స్,ಹೋಂ ಸೈನ್ಸ್ ,ஹோம் சயின்ஸ்,હોમ સાયન્સ,ہوم سائنس,,
,,MATH,Math,गणित,गणित,ଗଣିତ,గణితం,ಗಣಿತ,கணிதம்,ગણિત,ریاضی,,
,,SCIENCE,Science,विज्ञान,विज्ञान,ବିଜ୍ଞାନ,సైన్స్,ವಿಜ್ಞಾನ,அறிவியல்,વિજ્ઞાન,سائنس,,
,,SOCIAL_SCIENCE,Social Science,सामाजिक शास्त्र,सामाजिक विज्ञान,ସାମାଜିକ ବିଜ୍ଞାନ,సామాజిక శాస్త్రం,ಸಮಾಜ ವಿಜ್ಞಾನ,சமூக அறிவியல்,સામાજિક વિજ્ઞાન,"سماجی علم
",,
,,SUBJECTS_I_TEACH,Subject I Teach,मी शिकणारे विषय,विषय जो मैं पढ़ाता/पढ़ाती हूँ,ଯେଉଁ ବିଷୟ ମୁ ପଢାଏ,నేను బోధించే విషయం,ನಾನು ಕಲಿಸುವ ವಿಷಯಗಳು,நான் கற்பிக்கும் பாடம்,હું જે વિષય શીખવું છું,مضمون جو میں پڑھاتا ہوں۔,,
,,CENTER:,Center:,केंद्र:,सेंटर,ସେଣ୍ଟର୍,కేంద్రం,ಸೆಂಟರ್:,மையம்:,સેન્ટર ,مرکز:,,
,,District,District,जिल्हा,ज़िला,ଜିଲ୍ଲା,జిల్లా,ಜಿಲ್ಲೆ,மாவட்டம்,જિલ્લો,ضلع,,
,,State,State,राज्य,राज्य,ରାଜ୍ୟ,రాష్టం ,ರಾಜ್ಯ,மாநிலம்,રાજ્ય,ریاست,,
,,Village,Village,गाव,गांव,ଗାଁ,గ్రామం,ಗ್ರಾಮ,கிராமம்,ગામ,گاؤں,,
,,CENTER,Center,केंद्र,सेंटर,ସେଣ୍ଟର୍,కేంద్రం,ಸೆಂಟರ್ ,மையம்,કેન્દ્ર,مرکز,,
,,BOARD,Board,बोर्ड,बोर्ड,ବୋର୍ଡ,బోర్డ్ ,ಬೋರ್ಡ್,கல்வி வாரியம்,બોર્ડ,بورڈ,,
,,MEDIUM,Medium,माध्यम,माध्यम,ମାଧ୍ୟମ,మీడియం,ಮಾಧ್ಯಮ,பயிற்று மொழி,મીડીયમ,ذریعہ تعلیم,,
,,GRADE,Grade,इयत्ता,कक्षा,ଶ୍ରେଣୀ,స్థాయి ,ಗ್ರೇಡ್ ,வகுப்பு,કક્ષા,گریڈ,,
,,REGULAR,Regular,नियमित,नियमित,ରେଗୁଲାର୍,క్రమం తప్పకుండా ,ರೆಗ್ಯುಲರ್ ,ரெகுலர்,નિયમિત,باقاعدہ,,
,,REMOTE,Remote,दूरस्थ,दूरस्थ,ରିମୋଟ୍ ,రిమోట్,ರಿಮೋಟ್ ,ரிமோட்,દૂરથી,ریموٹ,,
,,SKILLING_CENTER_IMAGE,Sklling Center Image,स्किलिंग केंद्र फोटो ,स्किलिंग सेंटर की फोटो,ସ୍କିଲିଙ୍ଗ ସେଣ୍ଟର ଚିତ୍ର,వృత్తి నైపుణ్యాల  చిత్రం,ಕೌಶಲ್ಯ ಕೇಂದ್ರದ ಚಿತ್ರ,ஸ்கில்லிங் சென்டர் படம்,સ્કિલિંગ સેન્ટર ઇમેજ ,اسکلنگ سینٹر کی تصویر,,
,,INDUSTRY,Industry,उद्योग,उद्योग,ଉଦ୍ୟୋଗ,పరిశ్రమ,ಉದ್ಯಮ,தொழில்,ઉદ્યોગ,صنعت,,
,,GOOGLE_MAP_LINK,Google Map Link,गूगल नकाशा लिंक,गूगल मैप लिंक,ଗୁଗୁଲ୍ ମ୍ୟାପ୍ ଲିଙ୍କ,గూగుల్ మ్యాప్ లింక్,ಗೂಗಲ್ ಮ್ಯಾಪ್  ಲಿಂಕ್,கூகுள் மேப் லிங்க்,ગૂગલ મેપ લિંક,گوگل میپ لنک,,
,,ADDRESS,Address,पत्ता,पता,ଠିକଣା,చిరునామా,ವಿಳಾಸ,முகவரி,સરનામું,پتہ,,
,,DOB,Date of Birth,जन्म तारीख,जन्म तिथि,ଜନ୍ମ ତାରିଖ,పుట్టిన తేదీ,ಜನ್ಮ  ದಿನಾಂಕ,பிறந்த தேதி,જન્મ તારીખ,"تاریخ پیدائش
",,
,,SUBJECT,Subject,विषय,विषय,ବିଷୟ,విషయం,ವಿಷಯ,பாடம்,વિષય,موضوع,,
,,SELF_PLACED,Self Placed,स्वत: चे ठिकाण ,स्वयं नियुक्त,ସ୍ୱନିଯୁକ୍ତି,స్వీయ స్థానం,ಸ್ವಯಂ ಉದ್ಯೋಗಿ,சுயமாக பணியமர்த்தப்பட்டவர்,સ્વયં નિયુક્ત,"خود منتخب کردہ
",,
,,Male,Male,पुरुष,पुरुष,ପୁରୁଷ,పురుషుడు,ಪುರುಷ,ஆண்,પુરુષ,مرد,,
,,Female,Female,स्त्री,महिला,ମହିଳା,మహిళ,ಸ್ತ್ರೀ,பெண்,સ્ત્રી,عورت,,
,,Transgender,Other,ट्रान्सजेंडर,ट्रांसजेंडर,ଟ୍ରାନ୍ସଜେଣ୍ଡର,ఇతర,ಟ್ರಾನ್ಸ್ ಜೇಂಡರ್ ,மற்றவை,ટ્રાન્સજેન્ડર,دیگر,,
,,email,Email,ईमेल,ईमेल,ଇମେଲ୍,ఈమెయిల్,ಈಮೈಲ್,மின்னஞ்சல்,ઇમેલ,"ای میل
",,
,,DESIGNATION,Designation,पद,पदनाम,ପଦବି,పదవి,ಹುದ್ದೆ,பதவி,હોદ્દો ,عہدہ,,
,,Facilitator,Facilitator,फॅसिलिटेटर,सुविधाकर्ता,ଫାସିଲିଟେଟର୍,ఫెసిలిటేటర్,ಪೆಸಿಲಿಟೆಟರ್ ,ஆசிரியர்,ફેસિલિટેટર ,"فیسیلیٹیٹر (رہنما)
",,
,,English,English,इंग्रजी,अंग्रेज़ी,ଇଂରାଜୀ,ఆంగ్లం ,ಇಂಗ್ಲಿಷ್,ஆங்கிலம்,અંગ્રેજી ,انگریزی,,
,,Home Science,Home Science,गृहशास्त्र,होम साइंस,ଗୃହ ବିଜ୍ଞାନ,గృహ విజ్ఞాన శాస్త్రము,ಹೋಂ ಸೈನ್ಸ್ ,ஹோம் சயின்ஸ்,હોમ સાયન્સ,ہوم سائنس,,
,,Math,Math,गणित,गणित,ଗଣିତ,గణితం,ಗಣಿತ,கணிதம்,ગણિત,ریاضی,,
,,Language,Language,भाषा,भाषा,ଭାଷା,భాష,ಭಾಷೆ,மொழி,ભાષા,زبان,,
,,Science,Science,विज्ञान,विज्ञान,ବିଜ୍ଞାନ,విజ్ఞాన శాస్త్రం,ವಿಜ್ಞಾನ,அறிவியல்,વિજ્ઞાન,سائنس,,
,,Social Science,Social Science,सामाजिक शास्त्र,सामाजिक विज्ञान,ସାମାଜିକ ବିଜ୍ଞାନ,సామాజిక శాస్త్రం,ಸಮಾಜ ವಿಜ್ಞಾನ,சமூக அறிவியல்,સામાજિક વિજ્ઞાન,"سماجی علم
",,
