Module,Submodule,Key,English,Marathi,Hindi,Odiya,Telugu,Kannada,Tamil,Gujarati,Urdu
COMMON,,LANGUAGE,Language,भाषा,भाषा,ଭାଷା,భాష,ಭಾಷೆ,மொழி,ભાષા,زبان
COMMON,,LOADING,Loading,लोड होत आहे,लोडिंग,ଲୋଡ୍ ହେଉଛି (Loading),లోడ్ అవుతోంది / నింపుతోంది,ಲೋಡ್ ಆಗುತ್ತಿದೆ,ஏற்றுகிறது,લોડ કરી રહ્યા છીએ,لوڈ نگ۔
COMMON,,MARK,Mark,मार्क,मार्क,ଚିହ୍ନ (ମାର୍କ),మార్క్ / గుర్తు,ಗುರುತು,குறிக்க,ચિન્હ /નિશાની,نشان
COMMON,,MARK_MY_ATTENDANCE,Mark My Attendance,माझी उपस्थिती चिन्हांकित करा,मेरी उपस्थिति चिह्नित करें,ମୋର ଉପସ୍ଥିତି ଚିହ୍ନିତ କରନ୍ତୁ,నా హాజరును గుర్తించండి,ನನ್ನ ಹಾಜರಾತಿಯನ್ನು ಗುರುತಿಸಿ,எனது வருகையைக் குறிக்கவும்,મારી હાજરીને માર્ક કરો,میری حاضری کو نشان زد کریں۔
COMMON,,MARK_CENTER_ATTENDANCE,Mark Center Attendance,केंद्र उपस्थिती चिन्हांकित करा,केंद्र पर उपस्थिति दर्ज करें,କେନ୍ଦ୍ର ର ଉପସ୍ଥିତି ଚିହ୍ନିତ କର,సెంటర్ హాజరును గుర్తించండి,ಕೇಂದ್ರದ ಹಾಜರಾತಿಯನ್ನು ಗುರುತಿಸಿ,சென்டர் வருகையை குறிக்கவும்.,માર્ક કેન્દ્ર હાજરી,سنٹر کی حاضری کا اندراج کریں۔
COMMON,,MARK_ATTENDANCE,Mark Attendance,उपस्थिती चिन्हांकित करा,उपस्थिति चिह्नित करें,ଉପସ୍ଥିତି ଚିହ୍ନିତ କର,హాజరును గుర్తించండి,ಹಾಜರಾತಿಯನ್ನು ಗುರುತಿಸಿ,வருகையை குறி,માર્ક હાજરી,حاضری کو نشان زد کریں
COMMON,,UPDATE_ATTENDANCE,Update Attendance,उपस्थिती अद्यतनित करा,उपस्थिति अपडेट करें,ଉପସ୍ଥିତି ଅପଡେଟ କର,హాజరును అప్‌డేట్ చేయండి,ಹಾಜರಾತಿಯನ್ನು ನವೀಕರಿಸಿ,வருகையை புதுப்பி,હાજરી અપડેટ કરો,حاضری کو اپ ڈیٹ کریں۔
COMMON,,SAVE,Save,जतन करा,सहेजें,ସେଭ କର,సేవ్ చేయండి / భద్రపరచండి,ಉಳಿಸಿ,சேமி,સાચવો,محفوظ کریں
COMMON,,SEARCH,Search..,शोधा..,खोजें..,ସର୍ଚ  କରନ୍ତୁ..,వెతకండి / శోధించండి,ಹುಡುಕಿ,தேடு..,શોધો..,تلاش کریں..
COMMON,,UPDATE,Update,अपडेट करा,अद्यतन करें,ଅପଡେଟ,అప్‌డేట్ చేయండి,ನವೀಕರಿಸಿ,புதுப்பிக்க,અપડેટ કરો,اپ ڈیٹ
COMMON,,MODIFY,Modify,सुधारित करा,संशोधित करें,ସଂଶୋଧିତ କର,మార్చండి / సవరించండి,ಮಾರ್ಪಡಿಸಿ,திருத்து,ફેરફાર કરો,ترمیم کریں
COMMON,,CLEAR_ALL,Clear All,सर्व काढा,सब हटाएं,ସବୁ ସଫା କର,అన్నింటినీ క్లియర్ చేయండి,ಎಲ್ಲವನ್ನೂ ತೆರವುಗೊಳಿಸಿ,அனைத்தையும் நீக்கு,બધા સાફ કરો,سب مٹا دیں
COMMON,,SEARCH_STUDENT,Search Learner,विद्यार्थी शोधा,छात्र खोजें,ଶିକ୍ଷାର୍ଥୀ  ଖୋଜ,అభ్యాసకుడిని వెతకండి,ಕಲಿಯುವವರನ್ನು ಹುಡುಕಿ,மாணவரைத் தேடு,લર્નર શોધો,طالب علم تلاش کریں۔
COMMON,,SORT_BY,Sort by,क्रमवारी लावा,इसके अनुसार क्रमबद्ध करें,ଶ୍ରେଣୀଭୂକ୍ତ କର,దీని ప్రకారం క్రమబద్ధీకరించండి,ವಿಂಗಡಿಸಿ,வரிசைப்படுத்து,દ્વારા સૉર્ટ કરો,ترتیب دیں
COMMON,,APPLY,Apply,लागू करा,आवेदन करना,ଆପ୍ଲାଇ  କର ,దరఖాస్తు చేయండి / వర్తింపజేయండి,ಅನ್ವಯಿಸು,விண்ணப்பி,અરજી કરો,لاگو کریں
COMMON,,A_TO_Z,A to Z,A TO Z,A TO Z,Aଏ ରୁ Z,A నుండి Z వరకు,A ಇಂದ Z,A முதல் Z வரை,A TO Z,A سے Z تک
COMMON,,Z_TO_A,Z to A,Z TO A,Z TO A,Z ରୁ A,Z నుండి A వరకు,Z ಇಂದ A,Z முதல் A வரை,Z TO A,A سے Z تک
COMMON,,HIGH_TO_LOW,High to Low,उच्च ते कमी,उच्चे से नीचा,ଉଚ୍ଚ ରୁ ନିମ୍ନ,ఎక్కువ నుండి తక్కువ వరకు,ಹೆಚ್ಚಿನಿಂದ ಕಡಿಮೆ,அதிகம் முதல் குறைவு வரை,ઉચ્ચ થી નીચું,زیاده سے کم
COMMON,,LOW_TO_HIGH,Low to High,कमी ते उच्च,नीचा से उच्चे,ନିମ୍ନ ରୁ ଉଚ୍ଚ,తక్కువ నుండి ఎక్కువ వరకు,ಕಡಿಮೆಯಿಂದ ಹೆಚ್ಚು,குறைவு முதல் அதிகம் வரை,નીચા થી ઉચ્ચ,کم سے زیادہ
COMMON,,NAMES,Names,नावे,नाम,ନାମ,పేర్లు,ಹೆಸರುಗಳು,பெயர்கள்,નામો,نام
COMMON,,CLASS_MISSED,Classes Missed,चुकलेले वर्ग,छूटी हुई कक्षाएं,କ୍ଲାସେସ୍ ମିସ କରିଛି,కోల్పోయిన తరగతులు,ತಪ್ಪಿಸಿದ ತರಗತಿಗಳು,தவறிய வகுப்புகள்,વર્ગો ચૂકી ગયા,چھوٹی ہوئی کلاسیں۔
COMMON,,ATTENDANCE,Attendance,उपस्थिति,उपस्थिति,ଉପସ୍ଥିତି,హాజరు,ಹಾಜರಾತಿ,வருகை,હાજરી,حاضری (%)
COMMON,,ATTENDANCE_REPORT,Attendance Report,उपस्थिती अहवाल,उपस्थिति विवरण,ଉପସ୍ଥିତି  ରିପୋର୍ଟ ,హాజరు నివేదిక,ಹಾಜರಾತಿ ವರದಿ,வருகை ரிப்போர்ட்,હાજરી અહેવાલ,حاضری کی ریپورٹ 
COMMON,,ASSESSMENT_REPORT,Assessment Report,मूल्यांकन अहवाल,मूल्यांकन रिपोर्ट,ମୂଲ୍ୟାଙ୍କନ ରିପୋର୍ଟ,మూల్యాంకన నివేదిక,ಮೌಲ್ಯಮಾಪನ ವರದಿ,மதிப்பீட்டு ரிப்போர்ட்,મૂલ્યાંકન રીપોર્ટ,تشخیصی ریپورٹ 
COMMON,,BASIC_DETAILS,Basic Details,मूलभूत तपशील,मूलभूत विवरण,ସାଧାରଣ ତଥ୍ୟ,ప్రాథమిక వివరాలు,ಮೂಲ ವಿವರಗಳು,அடிப்படை விவரங்கள்,મૂળભૂત વિગતો,بنیادی تفصیلات
COMMON,,DOB,Date of Birth,जन्मतारीख,जन्म की तारीख,ଜନ୍ମ ତାରିଖ,పుట్టిన తేదీ,ಜನ್ಮ ದಿನಾಂಕ,பிறந்த தேதி,જન્મ તારીખ,تاریخ پیدائش
COMMON,,LOGOUT,Log out,बाहेर पडा,लॉग आउट,ଲଗ ଆଉଟ,నిష్క్రమణ,ಲಾಗ್ ಔಟ್ ಮಾಡಿ,வெளியேறு,લોગ આઉટ કરો,لاگ آؤٹ
COMMON,,OVERALL_ATTENDANCE,Overall Attendance,एकूण उपस्थिती,कुल उपस्थिति,ସର୍ବମୋଟ ଉପସ୍ଥିତି,అభ్యాసకుల హాజరు,ಒಟ್ಟಾರೆ ಹಾಜರಾತಿ,ஒட்டுமொத்த வருகைப்பதிவு,ઓવરઓલ હાજરી,کل حاضری
COMMON,,NO_DATA_FOUND,No Data Found,कोणताही माहिती आढळली नाही,कोई डेटा नहीं मिला,କୌଣସି ତଥ୍ୟ ମିଳିଲା ନାହି,డేటా కనుగొనబడలేదు,ಯಾವುದೇ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ,தகவல் எதுவும் கிடைக்கவில்லை,કોઈ ડેટા મળ્યો નથી,کوئی ڈیٹا موجود نہیں ہے
COMMON,,LOCATION,Location,स्थान,स्थान,ସ୍ଥାନ,స్థానం,ಸ್ಥಳ,இருப்பிடம்,સ્થાન,جگہ
COMMON,,LATEST_EDUCATION,Latest Education,नवीनतम शिक्षण,नवीनतम शिक्षा,ନବୀନତମ ଶିକ୍ଷା,తాజా విద్య,ಇತ್ತೀಚಿನ ಶಿಕ್ಷಣ,கடைசியாக படித்தது,લેટેસ્ટ શિક્ષણ,جدید تعلیم
COMMON,,MARITAL_STATUS,Marital Status,वैवाहिक स्थिती,वैवाहिक स्थिती,ବୈବାହିକ ସ୍ଥିତି,వైవాహిక స్థితి,ವೈವಾಹಿಕ ಸ್ಥಿತಿ,திருமண நிலை,વૈવાહિક સ્થિતિ,ازدواجی حیثیت
COMMON,,DROPOUT_YEAR,Dropout Year,ड्रॉपआउट वर्ष,ड्रॉपआउट वर्ष,ଶିକ୍ଷା ଛାଡିଥିବା ବର୍ଷ,బడి మానేసిన సంవత్సరం,ಡ್ರಾಪ್ಔಟ್ ವರ್ಷ,கல்வி இடைநிறுத்திய ஆண்டு,ડ્રોપઆઉટ વર્ષ,ڈراپ آؤٹ سال
COMMON,,EMPLOYMENT_STATUS,Employment Status,रोज़गार स्थिति,रोज़गार स्थिति,ରୋଜଗାର ସ୍ଥିତି,ఉద్యోగ స్థితి,ಉದ್ಯೋಗ ಸ್ಥಿತಿ,வேலை பற்றிய தகவல்,રોજગાર સ્થિતિ,ملازمت کی حیثیت
COMMON,,ENROLLMENT_DATE,Enrollment Date,नावनोंदणी तारीख,नामांकन की तिथि,ନାମାଙ୍କନ ତାରିଖ,నమోదు తేదీ,ದಾಖಲಾತಿ ದಿನಾಂಕ,சேர்க்கை தேதி,નોંધણી તારીખ,اندراج کی تاریخ
COMMON,,AS_OF_LAST_SIX_MONTH,As of last six month,गेल्या सहा महिन्यांपासून,पिछले छह महीने से,ପୂର୍ବ ଛ ମାସ ଅନୁସାରେ,గత ఆరు నెలల నాటికి,ಕಳೆದ ಆರು ತಿಂಗಳಿಂದ,கடந்த 6 மாதங்கள் வரை,છેલ્લા છ મહિનાથી, پچھلے مہینے تک
COMMON,,AS_OF_TODAY,As of today,आजपर्यंत,आज तक,ଆଜି ଅନୁସାରେ,ఈ రోజు నాటికి,ಇಂದಿನಿಂದ,இன்று வரை,આજથી,آج تک
