Module,Key,English,Marathi,Hindi,Odiya,Telugu,Kannada,Tamil,Gujarati,Urdu
COMMON,LANGUAGE,Language,भाषा,भाषा,ଭାଷା,వేతన పని,ಭಾಷೆ,மொழி,ભાષા,زبان
COMMON,ADD_NEW,Add New,नवीन जोडा,नया जोड़ें,ନୂତନ ଯୋଡନ୍ତୁ,నిరుద్యోగం,ಹೊಸದನ್ನು ಸೇರಿಸಿ,புதியதைச் சேர்க்கவும்,નવું જોડો,نیا شامل کریں۔
COMMON,PAGE_SIZE,Page Size,पृष्ठ आकार,पृष्ठ आकार,ପୃଷ୍ଠା ଆକାର,గృహ కార్యాల్లో పాల్గొంటున్నారు,ಪುಟ ಗಾತ್ರ,பக்க அளவு,કાગળનું માપ,صفحہ کا سائز
COMMON,DELETE_USER,Delete User Permanently,वापरकर्त्याला कायमस्वरूपी हटवा,उपयोगकर्ता को स्थायी रूप से हटाएं,ଉପଭୋକ୍ତାକୁ ଶାଶ୍ଵତ ଭାବରେ ହଟାନ୍ତୁ,తండ్రి పేరు,ಬಳಕೆದಾರರನ್ನು ಶಾಶ್ವತವಾಗಿ ಅಳಿಸಿ,பயனரை நிரந்தரமாக நீக்கு,ઉપયોગકર્તાને સ્થાયી રૂપથી હટાવો,استعمال کرنے والےکو مستقل طور پر حذف کریں۔
COMMON,DELETE_USER_WITH_REASON,Delete User,वापरकर्त्याला हटवा,उपयोगकर्ता को हटाएं,ଉପଭୋକ୍ତାକୁ ହଟାନ୍ତୁ,మీ తండ్రి పేరు నమోదు చేయండి,ಬಳಕೆದಾರರನ್ನು ಅಳಿಸಿ,பயனரை நீக்கு,ઉપયોગકર્તાને હટાવો,استعمال کرنے والےکو حذف کریں۔
COMMON,USER_DELETED_PERMANENTLY,User Successfully Deleted!,वापरकर्ता यशस्वीरित्या हटविला गेला!,उपयोगकर्ता सफलतापूर्वक हटाया गया!,ଉପଭୋକ୍ତାକୁ ସଫଳତାର ସହ ହଟାଯାଇଛି!,తరగతి (గతంలో ఉత్తీర్ణత పొందిన గ్రేడ్),ಬಳಕೆದಾರರನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ!,பயனர் வெற்றிகரமாக நீக்கப்பட்டார்!,ઉપયોગકર્તાને સફળતાપૂર્વક હટાવી દીધો છે.,استعمال کرنے والا کامیابی سے حذف ہو گیا!
COMMON,OTHER_REASON,Other Reason,इतर कारण,अन्य कारण,ଅନ୍ୟାନ୍ୟ କାରଣ,పాఠశాల లేదు,ಇತರ ಕಾರಣ,வேறு காரணம்,અન્ય કારણ,دوسری وجہ
COMMON,OTHER_REASON_PLACEHOLDER,Enter Other Reason,इतर कारण प्रविष्ट करा,अन्य कारण दर्ज करें,ଅନ୍ୟାନ୍ୟ କାରଣ ଲେଖନ୍ତୁ,పాఠశాల నుండి దూరం కావడానికి(డ్రాప్ అవుట్ ) కారణం,ಇತರ ಕಾರಣವನ್ನು ನಮೂದಿಸಿ,வேறு காரணத்தை உள்ளிடவும்,અન્ય કારણ નાખો,دوسری وجہ درج کریں۔
COMMON,REASON_FOR_DELETION,Reason for Deletion,हटवण्याचे कारण,हटाने का कारण,ହଟାଇବାର କାରଣ,పాఠశాల అందుబాటులో లేదు,ಅಳಿಸುವಿಕೆಗೆ ಕಾರಣ,நீக்குவதற்கான காரணம்,હટાવી દેવાનું કારણ,حذف کرنے کی وجہ
COMMON,INCORRECT_DATA_ENTRY,Incorrect Data Entry,चुकीची डेटा नोंद,गलत डेटा प्रविष्टि,ତ୍ରୁଟିପୂର୍ଣ୍ଣ ତଥ୍ୟ ଆବେଶ,ఆర్థిక పరిమితులు(ఇబ్బందులు),ತಪ್ಪಾದ ಡೇಟಾ ನಮೂದು,உள்ளீடு செய்த தகவல் தவறானது,ખોટી માહિતી નાખી છે.,غلط ڈیٹا انٹری
COMMON,DUPLICATED_USER,Duplicate User,डुप्लिकेट वापरकर्ता,डुप्लिकेट उपयोगकर्ता,ଡୁପ୍ଲିକେଟ୍ ଉପଭୋକ୍ତା,ఆసక్తి లోపం,ನಕಲಿ ಬಳಕೆದಾರ,டூப்ளிகேட் பயனர்,ડુપ્લિકેટ ઉપયોગકર્તા,ڈپلیکیٹ صارف
COMMON,NO_USER_FOUND,User not found,वापरकर्ता सापडला नाही,उपयोगकर्ता नहीं मिला,ଉପଭୋକ୍ତାକୁ ପାଇଁ ହେବନାହିଁ,కుటుంబ బాధ్యతలు,ಬಳಕೆದಾರರು ಕಂಡುಬಂದಿಲ್ಲ.,பயனர் கிடைக்கவில்லை,ઉપયોગકર્તા નથી મળેલ,صارف نہیں ملا
COMMON,NO_CENTER_FOUND,Centers not found,सेंटर नहीं मिले,केंद्र सापडले नाही,କେନ୍ଦ୍ର ମିଳିନାହିଁ,కేంద్రాలు దొరకలేదు,ಕೇಂದ್ರಗಳು ಕಂಡುಬಂದಿಲ್ಲ,மையங்கள் கிடைக்கவில்லை,કેન્દ્ર મળ્યું નથી,مراکز نہیں ملے
